"	部门","	员工编码","	员工姓名","	打卡时间","	当前班次","	该班次的上下班时间","	当前楼层","	门禁名称","	状态","	地点"
"	人力资源部","	21033887","	张三","	2022-06-23 08:49:40","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-22 19:30:59","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧出"
"	人力资源部","	21033887","	张三","	2022-06-22 17:51:09","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧入"
"	人力资源部","	21033887","	张三","	2022-06-22 17:43:01","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负4楼西侧出"
"	人力资源部","	21033887","	张三","	2022-06-22 17:41:32","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	主楼大堂高区闸机左入口"
"	人力资源部","	21033887","	张三","	2022-06-22 16:56:20","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	主楼大堂高区闸机左出口"
"	人力资源部","	21033887","	张三","	2022-06-22 14:45:15","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	副楼3层东侧入"
"	人力资源部","	21033887","	张三","	2022-06-22 13:14:15","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧入"
"	人力资源部","	21033887","	张三","	2022-06-22 13:12:53","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧出"
"	人力资源部","	21033887","	张三","	2022-06-22 12:49:07","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负4楼西侧入"
"	人力资源部","	21033887","	张三","	2022-06-22 12:46:57","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负4楼东侧出"
"	人力资源部","	21033887","	张三","	2022-06-22 12:43:03","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	主楼负1层东侧入"
"	人力资源部","	21033887","	张三","	2022-06-22 12:38:59","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	主楼负1层东侧出"
"	人力资源部","	21033887","	张三","	2022-06-22 12:38:05","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧入"
"	人力资源部","	21033887","	张三","	2022-06-22 12:36:25","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧出"
"	人力资源部","	21033887","	张三","	2022-06-21 17:47:25","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-06-21 10:29:51","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
